state	year	m	f
PA	1927	John	Mary
RI	1927	John	Mary
SC	1927	James	Mary
SD	1927	Robert	Mary
TN	1927	James	Mary
TX	1927	James	Mary
UT	1927	Robert	Mary
VA	1927	James	Mary
VT	1927	Robert	Mary
WA	1927	Robert	Betty
WI	1927	Robert	Mary
WV	1927	James	Mary
WY	1927	Robert	Mary
AK	1928	John	Mary
AL	1928	James	Mary
AR	1928	James	Mary
AZ	1928	John	Mary
CA	1928	Robert	Mary
CO	1928	Robert	Mary
CT	1928	John	Mary
DE	1928	William	Mary
FL	1928	James	Mary
GA	1928	James	Mary
HI	1928	George	Helen
IA	1928	Robert	Mary
ID	1928	Robert	Betty
IL	1928	Robert	Mary
IN	1928	Robert	Mary
KS	1928	Robert	Mary
KY	1928	James	Mary
LA	1928	James	Mary
MA	1928	Robert	Mary
MD	1928	John	Mary
ME	1928	Robert	Mary
MI	1928	Robert	Mary
MN	1928	Robert	Mary
MO	1928	Robert	Mary
MS	1928	James	Mary
MT	1928	Robert	Betty
NC	1928	James	Mary
ND	1928	Robert	Mary
NE	1928	Robert	Betty
NH	1928	Robert	Mary
NJ	1928	John	Mary
NM	1928	Jose	Mary
NV	1928	Robert	Mary
NY	1928	John	Mary
OH	1928	Robert	Mary
OK	1928	James	Betty
OR	1928	Robert	Betty
PA	1928	John	Mary
RI	1928	John	Mary
SC	1928	James	Mary
SD	1928	Robert	Betty
TN	1928	James	Mary
TX	1928	James	Mary
UT	1928	Robert	Betty
VA	1928	James	Mary
VT	1928	Robert	Mary
WA	1928	Robert	Betty
WI	1928	Robert	Mary
WV	1928	James	Mary
WY	1928	Robert	Betty
AK	1929	John	Mary
AL	1929	James	Mary
AR	1929	James	Mary
AZ	1929	Robert	Mary
CA	1929	Robert	Mary
CO	1929	Robert	Mary
CT	1929	John	Mary
DE	1929	John	Mary
FL	1929	James	Mary
GA	1929	James	Mary
HI	1929	George	Helen
IA	1929	Robert	Mary
ID	1929	Robert	Betty
IL	1929	Robert	Mary
IN	1929	Robert	Mary
KS	1929	Robert	Mary
KY	1929	James	Mary
LA	1929	James	Mary
MA	1929	John	Mary
MD	1929	William	Mary
ME	1929	Robert	Mary
MI	1929	Robert	Mary
MN	1929	Robert	Mary
MO	1929	Robert	Mary
MS	1929	James	Mary
MT	1929	Robert	Betty
NC	1929	James	Mary
ND	1929	Robert	Mary
NE	1929	Robert	Mary
NH	1929	Robert	Barbara
NJ	1929	John	Mary
NM	1929	Joe	Mary
NV	1929	Robert	Mary
NY	1929	John	Mary
OH	1929	Robert	Mary
OK	1929	James	Betty
OR	1929	Robert	Betty
PA	1929	John	Mary
RI	1929	John	Mary
SC	1929	James	Mary
SD	1929	Robert	Mary
TN	1929	James	Mary
TX	1929	James	Mary
UT	1929	Robert	Mary
VA	1929	James	Mary
VT	1929	Robert	Mary
WA	1929	Robert	Mary
WI	1929	Robert	Mary
WV	1929	James	Mary
WY	1929	Robert	Mary
AK	1930	John	Mary
AL	1930	James	Mary
AR	1930	James	Mary
AZ	1930	Robert	Mary
CA	1930	Robert	Mary
CO	1930	Robert	Mary
CT	1930	John	Mary
DE	1930	William	Mary
FL	1930	James	Mary
GA	1930	James	Mary
HI	1930	George	Mary
IA	1930	Robert	Mary
ID	1930	Robert	Betty
IL	1930	Robert	Mary
IN	1930	Robert	Mary
KS	1930	Robert	Mary
KY	1930	James	Mary
LA	1930	James	Mary
MA	1930	Robert	Mary
MD	1930	William	Mary
ME	1930	Robert	Mary
MI	1930	Robert	Mary
MN	1930	Robert	Mary
MO	1930	Robert	Mary
MS	1930	James	Mary
MT	1930	Robert	Mary
NC	1930	James	Mary
ND	1930	Robert	Betty
NE	1930	Robert	Betty
NH	1930	Robert	Barbara
NJ	1930	John	Mary
NM	1930	Joe	Mary
NV	1930	Robert	Betty
NY	1930	John	Mary
OH	1930	Robert	Mary
OK	1930	James	Betty
OR	1930	Robert	Betty
PA	1930	John	Mary
RI	1930	Robert	Mary
SC	1930	James	Mary
SD	1930	Robert	Betty
TN	1930	James	Mary
TX	1930	James	Mary
UT	1930	Robert	Betty
VA	1930	James	Mary
VT	1930	Robert	Mary
WA	1930	Robert	Betty
WI	1930	Robert	Mary
WV	1930	James	Betty
WY	1930	Robert	Mary
AK	1931	John	Mary
AL	1931	James	Mary
AR	1931	James	Mary
AZ	1931	Robert	Mary
CA	1931	Robert	Mary
